Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,1273,"Bartlett Electric Coop, Inc",TX,0.127,.,.,.,0.127,14,.,.,.,14,0.000,.,.,.,0.000,0.017,.,.,.,0.017,6,.,.,.,6,0.000,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.144,0.000,0.000,0.000,0.144,20,0,0,0,20,0,0,0,0,0
2014,1283,Bartholomew County Rural E M C,IN,0.040,.,.,.,0.040,5,.,.,.,5,0.010,.,.,.,0.010,0.003,.,.,.,0.003,3,.,.,.,3,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.043,0.000,0.000,0.000,0.043,8,0,0,0,8,0,0,0,0,0
2014,1300,City of Bartow - (FL),FL,0.021,0.033,0.034,.,0.088,4,3,1,.,8,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.023,0.033,0.034,0.000,0.090,5,3,1,0,9,0,0,0,0,0
2014,1301,"Barton County Elec Coop, Inc",MO,0.025,.,.,.,0.025,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.025,0.000,0.000,0.000,0.025,3,0,0,0,3,0,0,0,0,0
2014,1367,"Bayfield Electric Coop, Inc",WI,0.090,.,.,.,0.090,17,.,.,.,17,0.000,.,.,.,0.000,0.008,.,.,.,0.008,3,.,.,.,3,0.000,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.098,0.000,0.000,0.000,0.098,20,0,0,0,20,0,0,0,0,0
2014,1417,"Beartooth Electric Coop, Inc",MT,0.133,.,.,.,0.133,21,.,.,.,21,.,.,.,.,0.000,0.022,.,.,.,0.022,6,.,.,.,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.155,0.000,0.000,0.000,0.155,27,0,0,0,27,0,0,0,0,0
2014,1417,"Beartooth Electric Coop, Inc",WY,0.190,.,.,.,0.190,4,.,.,.,4,.,.,.,.,0.000,0.024,.,.,.,0.024,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.214,0.000,0.000,0.000,0.214,5,0,0,0,5,0,0,0,0,0
2014,1458,"Beauregard Electric Coop, Inc",LA,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,.,.,.,0.010,2,.,.,.,2,0.000,.,.,.,0.000,0.744,.,.,.,0.744,123,.,.,.,123,.,.,.,.,0.000,0.754,0.000,0.000,0.000,0.754,125,0,0,0,125,0,0,0,0,0
2014,1523,Town of Belmont - (MA),MA,0.089,0.016,0.186,.,0.291,19,2,1,.,22,53.570,1.430,.,.,55.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.089,0.016,0.186,0.000,0.291,19,2,1,0,22,54,1,0,0,55
2014,1529,"Beltrami Electric Coop, Inc",MN,0.072,.,.,.,0.072,11,.,.,.,11,12.800,.,.,.,12.800,0.058,.,.,.,0.058,5,.,.,.,5,9.600,.,.,.,9.600,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.130,0.000,0.000,0.000,0.130,16,0,0,0,16,22,0,0,0,22
2014,1579,PUD No 1 of Benton County,WA,0.227,0.044,.,.,0.271,38,5,.,.,43,91.052,5.978,.,.,97.030,0.005,0.002,.,.,0.007,2,1,.,.,3,0.360,2.298,.,.,2.658,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.232,0.046,0.000,0.000,0.278,40,6,0,0,46,91,8,0,0,100
2014,1586,City of Bentonville - (AR),AR,0.070,.,.,.,0.070,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.070,0.000,0.000,0.000,0.070,3,0,0,0,3,0,0,0,0,0
2014,1591,"Big Country Electric Coop, Inc",TX,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.025,.,.,.,0.025,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.025,0.000,0.000,0.000,0.025,4,0,0,0,4,0,0,0,0,0
2014,1613,Berkeley Electric Coop Inc,SC,0.162,.,.,.,0.162,29,.,.,.,29,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.162,0.000,0.000,0.000,0.162,29,0,0,0,29,0,0,0,0,0
2014,1625,Benton Rural Electric Assn,WA,0.160,.,.,.,0.160,31,.,.,.,31,199.000,.,.,.,199.000,0.007,.,.,.,0.007,2,.,.,.,2,1.000,.,.,.,1.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.167,0.000,0.000,0.000,0.167,33,0,0,0,33,200,0,0,0,200
2014,1675,Big Horn Rural Electric Co,WY,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.036,.,.,.,0.036,3,.,.,.,3,24.010,.,.,.,24.010,0.036,0.000,0.000,0.000,0.036,3,0,0,0,3,24,0,0,0,24
2014,1683,"Big Horn County Elec Coop, Inc",MT,0.020,.,.,.,0.020,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.020,0.000,0.000,0.000,0.020,3,0,0,0,3,0,0,0,0,0
2014,1723,"Big Bend Electric Coop, Inc",WA,0.034,0.007,0.000,0.000,0.041,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.034,0.007,0.000,0.000,0.041,3,1,0,0,4,0,0,0,0,0
2014,1736,Blachly-Lane County Coop El Assn,OR,0.012,.,.,.,0.012,3,.,.,.,3,5.718,.,.,.,5.718,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.000,0.000,0.000,0.012,3,0,0,0,3,6,0,0,0,6
2014,1763,"Black River Electric Coop, Inc - (SC)",SC,0.008,.,.,.,0.008,2,.,.,.,2,4.000,.,.,.,4.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,0.000,0.000,0.000,0.008,2,0,0,0,2,4,0,0,0,4
