Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2024,4176,Connecticut Light & Power Co,CT,ISNE,"17,913","87,110","26,020",.,"1,31,043",2.5,15.5,4.6,.,22.6,"2,65,191","6,91,029","2,06,411",.,"11,62,631",2.5,15.5,4.6,.,22.6,"51,034","32,917","9,832",.,"93,784","17,814","16,247","4,379",.,"38,440","51,034","32,917","9,832",.,"93,784","17,814","16,247","4,379",.,"38,440",14.805,7.933,7.933,.,http://www.ctenergydashboard.com 
2024,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"1,67,615","1,12,353",.,.,"2,79,968",49.6,25.1,.,.,74.7,"9,40,922","12,02,596",.,.,"21,43,518",53.7,23.8,.,.,77.5,"20,300","60,182",.,.,"80,482","4,781","10,166",.,.,"14,947","26,251","1,04,012",.,.,"1,30,263","5,027","13,070",.,.,"18,097",5.610,10.700,.,.,
2024,4254,Consumers Energy Co - (MI),MI,MISO,"1,44,534","3,68,479","1,16,362",.,"6,29,375",13.4,58.0,18.0,.,89.4,"9,94,598","40,31,156","12,72,997",.,"62,98,751",13.4,58.0,18.0,.,89.4,"35,933","13,547","42,900",.,"92,381","43,934","49,151","15,521",.,"1,08,607","35,933","13,547","42,900",.,"92,381","43,934","49,151","15,521",.,"1,08,607",6.881,10.939,10.939,.,
2024,4317,"Coos-Curry Electric Coop, Inc",OR,BPAT,131,74,.,.,205,0.0,0.0,.,.,0.0,"2,862","1,454",.,.,"4,316",0.0,0.0,.,.,0.0,88,25,.,.,113,.,.,.,.,.,88,25,.,.,113,.,.,.,.,.,21.800,19.730,0.000,0.000,
2024,4363,Corn Belt Power Coop,IA,SWPP,"1,004","1,281",359,.,"2,644",0.2,0.3,0.1,.,0.6,"18,965","16,401","5,328",.,"40,694",0.2,0.3,0.1,.,0.6,170,54,7,.,231,42,12,3,.,57,170,54,7,.,231,42,12,3,.,57,18.892,12.807,14.830,.,
2024,4401,"Cotton Electric Coop, Inc",OK,SWPP,159,0,0,0,159,0.0,0.0,0.0,0.0,0.0,"2,229",0,0,0,"2,229",0.0,0.0,0.0,0.0,0.0,81,0,0,0,81,8,0,0,0,8,173,0,0,0,173,8,0,0,0,8,14.000,.,.,.,www.cottonelectric.com
2024,4432,Coweta-Fayette El Member Corp,GA,SOCO,"1,765",21,.,.,"1,786",1.2,0.0,.,.,1.2,"17,652",208,.,.,"17,861",1.2,0.0,.,.,1.2,61,1,.,.,62,297,1,.,.,298,61,1,.,.,62,297,1,.,.,298,10.000,10.000,.,.,www.utility.org
2024,4442,PUD No 1 of Cowlitz County,WA,BPAT,967,"2,262","12,948",.,"16,177",0.1,0.3,1.5,.,2.0,"18,813","27,478","1,31,164",.,"1,77,454",0.1,0.3,1.5,.,2.0,"1,341",533,"2,181",.,"4,056",446,168,99,.,713,"1,341",533,"2,181",.,"4,056",446,168,99,.,713,19.456,12.149,10.130,.,https://www.cowlitzpud.org/efficiency/conservation-potential-assessment/
2024,4671,Custer Public Power District,NE,SWPP,162,59,160,.,380,0.0,0.0,0.0,.,0.0,"2,928",644,"1,079",.,"4,651",0.0,0.0,0.0,.,0.0,49,3,11,.,63,9,2,8,.,20,49,3,11,.,63,9,2,8,.,20,18.133,11.000,6.741,.,
2024,4683,City of Cuyahoga Falls - (OH),OH,PJM,0,989,0,0,989,0.0,0.3,0.0,0.0,0.3,0,"14,840",0,0,"14,840",0.0,0.3,0.0,0.0,0.3,0,42,0,0,42,0,0,0,0,0,0,42,0,0,42,0,0,0,0,0,0.000,15.000,0.000,0.000,
